Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Language,Added date
Rasaad yn Bashir,CLB,Commander Legends: Battle for Baldur's Gate,380,normal,uncommon,1,69050,5b634d96-62ae-46d2-b77f-7148837346b2,de,01.03.2025
Fireball,CLB,Commander Legends: Battle for Baldur's Gate,397,normal,uncommon,1,67516,82a97aae-d8a7-4451-a47e-ea878dea6e4c,de,01.03.2025
"Livaan, Cultist of Tiamat",CLB,Commander Legends: Battle for Baldur's Gate,402,normal,uncommon,1,68829,06bcc2a8-c7be-45c8-8048-e81638558d66,de,01.03.2025
Noble Heritage,CLB,Commander Legends: Battle for Baldur's Gate,35,normal,rare,1,68978,3e49fd5a-6893-4a06-b835-4bf611c9ada1,de,01.03.2025
Tavern Brawler,CLB,Commander Legends: Battle for Baldur's Gate,200,normal,common,2,69227,b07f8fc3-83a5-4e0a-b87f-ce415292c790,de,01.03.2025
Agent of the Shadow Thieves,CLB,Commander Legends: Battle for Baldur's Gate,108,normal,uncommon,1,69375,f50448e9-afe4-4d4e-b027-bbb855f17aeb,de,01.03.2025
"Gorion, Wise Mentor",CLB,Commander Legends: Battle for Baldur's Gate,276,normal,rare,1,68816,001c648a-db66-47f3-8fee-3658b9e76ac2,de,01.03.2025
Amethyst Dragon // Explosive Crystal,CLB,Commander Legends: Battle for Baldur's Gate,160,normal,uncommon,1,69038,57adbd6e-88ec-4472-a9c9-90b679fa881f,de,01.03.2025
Emerald Dragon // Dissonant Wave,CLB,Commander Legends: Battle for Baldur's Gate,229,normal,uncommon,1,68896,1d07c21e-55dc-45b2-b406-2ac38ca5d871,de,01.03.2025
"Halsin, Emerald Archdruid",CLB,Commander Legends: Battle for Baldur's Gate,234,normal,uncommon,1,69056,5e185e5c-b6f9-4d36-a6b1-d7315de38fca,de,01.03.2025
Wyrm's Crossing Patrol,CLB,Commander Legends: Battle for Baldur's Gate,51,normal,common,1,69367,f00a57fc-b4a6-48fa-a20c-864c10099e4b,de,01.03.2025
Astral Confrontation,CLB,Commander Legends: Battle for Baldur's Gate,6,normal,common,1,69364,eefe66d8-1b35-49f1-9bc0-74c5861e5abf,de,01.03.2025
